timestamp,call_sign,country,distance,altitude,climbing_rate,latitude,longitude,velocidade,tipo
2024-12-19 06:23:06 UTC,EJU34WG ,Austria,21707.4,2080.26,10.7,41.3582,-8.6443,519.696,0
2024-12-19 06:23:06 UTC,RYR8NU  ,Ireland,11027.6,350.52,12.7,41.2642,-8.6854,273.6,0
2024-12-19 06:23:06 UTC,RYR958H ,Ireland,38759.9,3688.08,15.9,41.5123,-8.6699,606.312,0
2024-12-19 06:23:06 UTC,RYR6RV  ,Ireland,7681.7,0,n.a.,41.2344,-8.6738,4.644,0
2024-12-19 06:24:02 UTC,AAL112  ,United States,40363.1,11163.3,0.0,41.4042,-9.0142,1085.04,0
2024-12-19 06:24:02 UTC,VLG79SL ,Spain,59314.5,9624.06,0.0,41.6608,-8.9128,789.91199999999992,0
2024-12-19 06:24:02 UTC,TAY2PO  ,Austria,7214.6,160.02,-3.3,41.2302,-8.6765,247.356,0
2024-12-19 06:24:02 UTC,SRR6646 ,Denmark,42042.3,3848.1,-4.9,41.3817,-8.2659,588.99600000000009,0
2024-12-19 06:24:02 UTC,RYR958H ,Ireland,49006,4655.82,14.6,41.6037,-8.6521,645.336,0
2024-12-19 06:24:02 UTC,RYR8NU  ,Ireland,16246.7,998.22,17.2,41.3102,-8.6982,364.14000000000004,0
2024-12-19 06:24:02 UTC,EJU34WG ,Austria,28047.5,3116.58,20.2,41.3967,-8.5475,586.476,0
2024-12-19 06:24:02 UTC,RYR6RV  ,Ireland,7681.7,0,n.a.,41.2344,-8.6738,4.644,0
2024-12-19 06:25:02 UTC,AAL112  ,United States,31299,11155.68,0.0,41.4129,-8.794,1088.5320000000002,0
2024-12-19 06:25:02 UTC,VLG79SL ,Spain,46616,9631.68,1.3,41.5398,-8.8989,799.308,0
2024-12-19 06:25:02 UTC,TAY2PO  ,Austria,7571.1,152.4,-3.9,41.2334,-8.6774,252.792,0
2024-12-19 06:25:02 UTC,SRR6646 ,Denmark,33977.4,3520.44,-9.1,41.2994,-8.3132,583.1640000000001,0
2024-12-19 06:25:02 UTC,EJU34WG ,Austria,34846.5,4145.28,15.3,41.4126,-8.4245,661.68000000000006,0
2024-12-19 06:25:02 UTC,RYR8NU  ,Ireland,23003.2,1920.24,16.6,41.3704,-8.704,463.104,0
2024-12-19 06:26:02 UTC,AAL112  ,United States,31196.6,11163.3,0.0,41.4204,-8.5963,1095.84,0
2024-12-19 06:26:02 UTC,VLG79SL ,Spain,35641.9,9959.34,7.5,41.4294,-8.8863,799.308,0
2024-12-19 06:26:02 UTC,SRR6646 ,Denmark,27914,3185.16,-2.3,41.2269,-8.3547,540.828,0
2024-12-19 06:26:02 UTC,TAY2PO  ,Austria,7571.1,152.4,-3.9,41.2334,-8.6774,252.792,0
2024-12-19 06:26:02 UTC,RYR6RV  ,Ireland,9461.7,144.78,10.7,41.2503,-8.6818,280.11600000000004,0
2024-12-19 06:26:02 UTC,RYR8NU  ,Ireland,25452.9,2667,11.1,41.389,-8.6195,567.792,0
2024-12-19 06:26:02 UTC,EJU34WG ,Austria,42471.9,5021.58,17.2,41.4174,-8.2987,710.388,0
2024-12-19 06:27:02 UTC,AAL112  ,United States,40022.7,11163.3,0.0,41.4283,-8.3773,1095.768,0
2024-12-19 06:27:02 UTC,VLG79SL ,Spain,25353.4,10378.44,5.5,41.3113,-8.873,791.748,0
2024-12-19 06:27:02 UTC,RYR6RV  ,Ireland,14290.4,708.66,5.8,41.293,-8.6936,342.504,0
2024-12-19 06:27:02 UTC,TAY2PO  ,Austria,7571.1,152.4,-3.9,41.2334,-8.6774,252.792,0
2024-12-19 06:27:02 UTC,SRR6646 ,Denmark,23767.8,2857.5,-7.8,41.1579,-8.3942,491.72400000000005,0
2024-12-19 06:27:02 UTC,RYR8NU  ,Ireland,29753.6,3566.16,12.7,41.3959,-8.5003,623.988,0
2024-12-19 06:28:03 UTC,VLG79SL ,Spain,18750.8,10706.1,3.6,41.1818,-8.8585,797.292,0
2024-12-19 06:28:03 UTC,RYR6RV  ,Ireland,21159.2,1325.88,5.2,41.3547,-8.6951,447.91200000000003,0
2024-12-19 06:28:03 UTC,TAY2PO  ,Austria,7571.1,152.4,-3.9,41.2334,-8.6774,252.792,0
2024-12-19 06:28:03 UTC,SRR6646 ,Denmark,22141.9,2354.58,-7.5,41.0834,-8.4366,487.08000000000004,0
2024-12-19 06:28:03 UTC,RYR8NU  ,Ireland,37746.9,4442.46,13.7,41.4029,-8.3576,682.84800000000007,0
2024-12-19 06:29:01 UTC,WFL8588 ,Spain,60746.7,11811,0.0,40.7604,-9.1407,1064.304,0
2024-12-19 06:29:01 UTC,RYR4ET  ,Malta,12600.2,723.9,4.5,41.278,-8.6895,300.96,0
2024-12-19 06:29:01 UTC,VLG79SL ,Spain,20597.4,11033.76,8.1,41.0763,-8.8466,789.91199999999992,0
2024-12-19 06:29:01 UTC,TAY2PO  ,Austria,7571.1,152.4,-3.9,41.2334,-8.6774,252.792,0
2024-12-19 06:29:01 UTC,SRR6646 ,Denmark,23352.1,1996.44,-5.5,41.0252,-8.4697,468.86400000000003,0
2024-12-19 06:29:01 UTC,RYR8NU  ,Ireland,46020.6,5173.98,14.0,41.4087,-8.2347,712.548,0
2024-12-19 06:29:01 UTC,RYR6RV  ,Ireland,28258.8,1965.96,17.9,41.4188,-8.683,515.736,0
2024-12-19 06:30:01 UTC,WFL8588 ,Spain,45392.6,11803.38,0.0,40.8184,-8.9238,1067.184,0
2024-12-19 06:30:01 UTC,VLG79SL ,Spain,29669.5,11422.38,3.9,40.9492,-8.8324,776.84399999999994,0
2024-12-19 06:30:01 UTC,SRR6646 ,Denmark,22059.5,1508.76,-6.5,40.9938,-8.5449,402.084,0
2024-12-19 06:30:01 UTC,RYR6RV  ,Ireland,37937.6,3124.2,14.3,41.5053,-8.6676,555.012,0
2024-12-19 06:30:01 UTC,RYR4ET  ,Malta,19344.7,1493.52,15.9,41.3374,-8.705,411.876,0
2024-12-19 06:31:01 UTC,"",Austria,8318.9,114.3,0.0,41.2401,-8.6792,167.472,0
2024-12-19 06:31:01 UTC,VLG79SL ,Spain,39702.6,11506.2,0.0,40.8415,-8.8205,789.91199999999992,0
2024-12-19 06:31:01 UTC,WFL8588 ,Spain,35675.9,11803.38,0.0,40.8666,-8.7412,1066.572,0
2024-12-19 06:31:01 UTC,RYR4ET  ,Malta,23943.3,2194.56,9.1,41.369,-8.7651,507.24,0
2024-12-19 06:31:01 UTC,SRR6646 ,Denmark,19333.7,1257.3,-2.6,40.9988,-8.6113,378.468,0
2024-12-19 06:31:01 UTC,RYR6RV  ,Ireland,46718.4,3992.88,15.3,41.5836,-8.6532,587.196,0
2024-12-19 06:32:01 UTC,VLG79SL ,Spain,52859.8,11513.82,0.0,40.7119,-8.806,791.748,0
2024-12-19 06:32:01 UTC,WFL8588 ,Spain,32013.5,11803.38,0.0,40.9239,-8.5228,1071.2160000000001,0
2024-12-19 06:32:01 UTC,EJU97KT ,Austria,14059.3,708.66,7.8,41.291,-8.6924,328.356,0
2024-12-19 06:32:01 UTC,IBE0334 ,Spain,59767.8,10538.46,-0.3,41.6642,-8.9109,1064.1960000000001,0
2024-12-19 06:32:01 UTC,SRR6646 ,Denmark,12421.3,1051.56,-2.9,41.0591,-8.6318,365.076,0
2024-12-19 06:32:01 UTC,RYR4ET  ,Malta,18524.7,3375.66,17.2,41.2915,-8.8148,616.572,0
2024-12-19 06:33:01 UTC,IBE0334 ,Spain,55235.9,10538.46,0.0,41.6524,-8.707,1064.448,0
2024-12-19 06:33:01 UTC,WFL8588 ,Spain,37949.2,11803.38,0.0,40.9747,-8.3278,1068.84,0
2024-12-19 06:33:01 UTC,EJU97KT ,Austria,19899.5,1386.84,7.8,41.3436,-8.6887,464.184,0
2024-12-19 06:33:01 UTC,SRR6646 ,Denmark,6718.9,883.92,-5.5,41.1102,-8.6448,354.492,0
2024-12-19 06:33:01 UTC,RYR4ET  ,Malta,11678.6,4335.78,14.0,41.1996,-8.7972,657.144,0
